"id_prod";"id_fam";"clave";"codigo";"descr";"cant";"uni";"inner_";"master_";"pag_catl";"precio_list";"precio_promo";"tipo";"fecha_llega";"act";"registro";"condiciones";"img";"est"
"PRD0001989";"FAM0000001";"ST384744";"8474";"Marro doble cara 10lbs con mango 36";20;"";"1";"2";"45";1038.9;1038.9;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001990";"FAM0000001";"ST384751";"8475";"Marro doble cara 12lbs con mango 36";37;"";"1";"2";"45";1027.1;1027.1;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001991";"FAM0000001";"ST370393";"7039";"Martillo 16 oz cónico ";331;"";"0";"0";"45";192.7;192.7;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001992";"FAM0000001";"ST372918";"7291";"Nivel torpedo 9 con imán ";0;"";"10";"60";"50";62.5;62.5;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001993";"FAM0000001";"ST387080";"8708";"Niveles de hilo 3  juego de 2pz";0;"";"12";"96";"50";52.1;52.1;"Ferretero";"2da Sem Feb";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001994";"FAM0000001";"ST376022";"7602";"Pabilo p/antorcha bolsa c/5pz ";1997;"";"20";"200";"9";47.9;47.9;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001995";"FAM0000001";"ST372970";"7297";"Pala carbonera mango largo madera de encino tipo 5";0;"";"0";"6";"53";604.2;604.2;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001996";"FAM0000002";"KR373571";"7357";"Pala cuadrada mango largoKEER";0;"";"1";"6";"-";354.2;354.2;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001997";"FAM0000001";"ST372772";"7277";"Pala cuadrada mango largo madera de encino";0;"";"1";"6";"53";437.5;437.5;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001998";"FAM0000001";"ST372765";"7276";"Pala irrigación mango largo madera  de encino";0;"";"0";"6";"-";437.5;437.5;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001999";"FAM0000002";"KR373588";"7358";"Pala redonda mango largoKEER";0;"";"0";"0";"-";354.2;354.2;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002000";"FAM0000001";"ST372789";"7278";"Pala redonda mango largo madera de encino";0;"";"1";"6";"53";437.5;437.5;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002001";"FAM0000001";"ST385819";"8581";"Pasador para puerta 51 mm deacero cromado";2773;"";"6";"0";"23";66.7;66.7;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002002";"FAM0000001";"ST385796";"8579";"Pasador para puerta 75 mm deacero latonado";2765;"";"6";"36";"23";97.9;97.9;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
